"setting.idx","metric","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5"
174,"True.Utility",0.04,0.08,0.11,0.28,0.19
222,"True.Tox",0.05,0.15,0.25,0.35,0.4
222,"True.Eff",0.15,0.35,0.36,0.37,0.37
222,"True.Utility",0.12,0.25,0.19,0.14,0.1
99,"True.Tox",0.02,0.06,0.18,0.25,0.35
99,"True.Eff",0.15,0.35,0.36,0.37,0.37
99,"True.Utility",0.14,0.31,0.24,0.2,0.14
103,"True.Tox",0.02,0.06,0.1,0.25,0.35
103,"True.Eff",0.05,0.1,0.35,0.36,0.37
103,"True.Utility",0.04,0.06,0.28,0.19,0.14
192,"True.Tox",0.05,0.15,0.25,0.35,0.4
192,"True.Eff",0.15,0.35,0.36,0.37,0.37
192,"True.Utility",0.12,0.25,0.19,0.14,0.1
215,"True.Tox",0.05,0.12,0.22,0.35,0.4
215,"True.Eff",0.1,0.15,0.38,0.38,0.4
215,"True.Utility",0.07,0.07,0.23,0.15,0.13
123,"True.Tox",0.02,0.06,0.1,0.25,0.35
123,"True.Eff",0.05,0.1,0.35,0.36,0.37
123,"True.Utility",0.04,0.06,0.28,0.19,0.14
113,"True.Tox",0.02,0.06,0.1,0.25,0.35
113,"True.Eff",0.05,0.1,0.35,0.36,0.37
113,"True.Utility",0.04,0.06,0.28,0.19,0.14
144,"True.Tox",0.01,0.03,0.06,0.1,0.25
144,"True.Eff",0.05,0.1,0.15,0.35,0.36
144,"True.Utility",0.04,0.08,0.11,0.28,0.19
133,"True.Tox",0.02,0.06,0.1,0.25,0.35
133,"True.Eff",0.05,0.1,0.35,0.36,0.37
133,"True.Utility",0.04,0.06,0.28,0.19,0.14
173,"True.Tox",0.02,0.06,0.1,0.25,0.35
173,"True.Eff",0.05,0.1,0.35,0.36,0.37
173,"True.Utility",0.04,0.06,0.28,0.19,0.14
130,"True.Tox",0.05,0.08,0.15,0.18,0.25
130,"True.Eff",0.15,0.38,0.38,0.39,0.4
130,"True.Utility",0.12,0.33,0.28,0.27,0.23
232,"True.Tox",0.05,0.15,0.25,0.35,0.4
232,"True.Eff",0.15,0.35,0.36,0.37,0.37
232,"True.Utility",0.12,0.25,0.19,0.14,0.1
128,"True.Tox",0.08,0.12,0.18,0.25,0.35
128,"True.Eff",0.38,0.38,0.39,0.4,0.4
128,"True.Utility",0.33,0.3,0.27,0.23,0.17
100,"True.Tox",0.05,0.08,0.15,0.18,0.25
100,"True.Eff",0.15,0.38,0.38,0.39,0.4
100,"True.Utility",0.12,0.33,0.28,0.27,0.23
160,"True.Tox",0.05,0.08,0.15,0.18,0.25
160,"True.Eff",0.15,0.38,0.38,0.39,0.4
160,"True.Utility",0.12,0.33,0.28,0.27,0.23
163,"True.Tox",0.02,0.06,0.1,0.25,0.35
163,"True.Eff",0.05,0.1,0.35,0.36,0.37
163,"True.Utility",0.04,0.06,0.28,0.19,0.14
143,"True.Tox",0.02,0.06,0.1,0.25,0.35
143,"True.Eff",0.05,0.1,0.35,0.36,0.37
143,"True.Utility",0.04,0.06,0.28,0.19,0.14
271,"True.Tox",0.15,0.25,0.35,0.4,0.45
271,"True.Eff",0.35,0.35,0.36,0.37,0.37
271,"True.Utility",0.25,0.18,0.13,0.1,0.07
186,"True.Tox",0.02,0.06,0.1,0.22,0.35
186,"True.Eff",0.05,0.1,0.15,0.38,0.4
186,"True.Utility",0.04,0.06,0.08,0.23,0.17
149,"True.Tox",0.02,0.06,0.18,0.25,0.35
149,"True.Eff",0.15,0.35,0.36,0.37,0.37
149,"True.Utility",0.14,0.31,0.24,0.2,0.14
182,"True.Tox",0.05,0.15,0.25,0.35,0.4
182,"True.Eff",0.15,0.35,0.36,0.37,0.37
182,"True.Utility",0.12,0.25,0.19,0.14,0.1
202,"True.Tox",0.05,0.15,0.25,0.35,0.4
202,"True.Eff",0.15,0.35,0.36,0.37,0.37
202,"True.Utility",0.12,0.25,0.19,0.14,0.1
109,"True.Tox",0.02,0.06,0.18,0.25,0.35
109,"True.Eff",0.15,0.35,0.36,0.37,0.37
109,"True.Utility",0.14,0.31,0.24,0.2,0.14
98,"True.Tox",0.08,0.12,0.18,0.25,0.35
98,"True.Eff",0.38,0.38,0.39,0.4,0.4
98,"True.Utility",0.33,0.3,0.27,0.23,0.17
252,"True.Tox",0.05,0.15,0.25,0.35,0.4
252,"True.Eff",0.15,0.35,0.36,0.37,0.37
252,"True.Utility",0.12,0.25,0.19,0.14,0.1
129,"True.Tox",0.02,0.06,0.18,0.25,0.35
129,"True.Eff",0.15,0.35,0.36,0.37,0.37
129,"True.Utility",0.14,0.31,0.24,0.2,0.14
245,"True.Tox",0.05,0.12,0.22,0.35,0.4
245,"True.Eff",0.1,0.15,0.38,0.38,0.4
245,"True.Utility",0.07,0.07,0.23,0.15,0.13
341,"True.Tox",0.15,0.25,0.35,0.4,0.45
341,"True.Eff",0.35,0.35,0.36,0.37,0.37
341,"True.Utility",0.25,0.18,0.13,0.1,0.07
262,"True.Tox",0.05,0.15,0.25,0.35,0.4
262,"True.Eff",0.15,0.35,0.36,0.37,0.37
262,"True.Utility",0.12,0.25,0.19,0.14,0.1
281,"True.Tox",0.15,0.25,0.35,0.4,0.45
281,"True.Eff",0.35,0.35,0.36,0.37,0.37
281,"True.Utility",0.25,0.18,0.13,0.1,0.07
179,"True.Tox",0.02,0.06,0.18,0.25,0.35
179,"True.Eff",0.15,0.35,0.36,0.37,0.37
179,"True.Utility",0.14,0.31,0.24,0.2,0.14
236,"True.Tox",0.02,0.06,0.1,0.22,0.35
236,"True.Eff",0.05,0.1,0.15,0.38,0.4
236,"True.Utility",0.04,0.06,0.08,0.23,0.17
226,"True.Tox",0.02,0.06,0.1,0.22,0.35
226,"True.Eff",0.05,0.1,0.15,0.38,0.4
226,"True.Utility",0.04,0.06,0.08,0.23,0.17
153,"True.Tox",0.02,0.06,0.1,0.25,0.35
153,"True.Eff",0.05,0.1,0.35,0.36,0.37
153,"True.Utility",0.04,0.06,0.28,0.19,0.14
206,"True.Tox",0.02,0.06,0.1,0.22,0.35
206,"True.Eff",0.05,0.1,0.15,0.38,0.4
206,"True.Utility",0.04,0.06,0.08,0.23,0.17
196,"True.Tox",0.02,0.06,0.1,0.22,0.35
196,"True.Eff",0.05,0.1,0.15,0.38,0.4
196,"True.Utility",0.04,0.06,0.08,0.23,0.17
178,"True.Tox",0.08,0.12,0.18,0.25,0.35
178,"True.Eff",0.38,0.38,0.39,0.4,0.4
178,"True.Utility",0.33,0.3,0.27,0.23,0.17
148,"True.Tox",0.08,0.12,0.18,0.25,0.35
148,"True.Eff",0.38,0.38,0.39,0.4,0.4
148,"True.Utility",0.33,0.3,0.27,0.23,0.17
331,"True.Tox",0.15,0.25,0.35,0.4,0.45
331,"True.Eff",0.35,0.35,0.36,0.37,0.37
331,"True.Utility",0.25,0.18,0.13,0.1,0.07
266,"True.Tox",0.02,0.06,0.1,0.22,0.35
266,"True.Eff",0.05,0.1,0.15,0.38,0.4
266,"True.Utility",0.04,0.06,0.08,0.23,0.17
311,"True.Tox",0.15,0.25,0.35,0.4,0.45
311,"True.Eff",0.35,0.35,0.36,0.37,0.37
311,"True.Utility",0.25,0.18,0.13,0.1,0.07
168,"True.Tox",0.08,0.12,0.18,0.25,0.35
168,"True.Eff",0.38,0.38,0.39,0.4,0.4
168,"True.Utility",0.33,0.3,0.27,0.23,0.17
139,"True.Tox",0.02,0.06,0.18,0.25,0.35
139,"True.Eff",0.15,0.35,0.36,0.37,0.37
139,"True.Utility",0.14,0.31,0.24,0.2,0.14
110,"True.Tox",0.05,0.08,0.15,0.18,0.25
110,"True.Eff",0.15,0.38,0.38,0.39,0.4
110,"True.Utility",0.12,0.33,0.28,0.27,0.23
119,"True.Tox",0.02,0.06,0.18,0.25,0.35
119,"True.Eff",0.15,0.35,0.36,0.37,0.37
119,"True.Utility",0.14,0.31,0.24,0.2,0.14
150,"True.Tox",0.05,0.08,0.15,0.18,0.25
150,"True.Eff",0.15,0.38,0.38,0.39,0.4
150,"True.Utility",0.12,0.33,0.28,0.27,0.23
158,"True.Tox",0.08,0.12,0.18,0.25,0.35
158,"True.Eff",0.38,0.38,0.39,0.4,0.4
158,"True.Utility",0.33,0.3,0.27,0.23,0.17
138,"True.Tox",0.08,0.12,0.18,0.25,0.35
138,"True.Eff",0.38,0.38,0.39,0.4,0.4
138,"True.Utility",0.33,0.3,0.27,0.23,0.17
301,"True.Tox",0.15,0.25,0.35,0.4,0.45
301,"True.Eff",0.35,0.35,0.36,0.37,0.37
301,"True.Utility",0.25,0.18,0.13,0.1,0.07
118,"True.Tox",0.08,0.12,0.18,0.25,0.35
118,"True.Eff",0.38,0.38,0.39,0.4,0.4
118,"True.Utility",0.33,0.3,0.27,0.23,0.17
227,"True.Tox",0.05,0.15,0.25,0.35,0.4
227,"True.Eff",0.35,0.35,0.36,0.37,0.37
227,"True.Utility",0.32,0.25,0.19,0.14,0.1
159,"True.Tox",0.02,0.06,0.18,0.25,0.35
159,"True.Eff",0.15,0.35,0.36,0.37,0.37
159,"True.Utility",0.14,0.31,0.24,0.2,0.14
140,"True.Tox",0.05,0.08,0.15,0.18,0.25
140,"True.Eff",0.15,0.38,0.38,0.39,0.4
140,"True.Utility",0.12,0.33,0.28,0.27,0.23
169,"True.Tox",0.02,0.06,0.18,0.25,0.35
169,"True.Eff",0.15,0.35,0.36,0.37,0.37
169,"True.Utility",0.14,0.31,0.24,0.2,0.14
256,"True.Tox",0.02,0.06,0.1,0.22,0.35
256,"True.Eff",0.05,0.1,0.15,0.38,0.4
256,"True.Utility",0.04,0.06,0.08,0.23,0.17
170,"True.Tox",0.05,0.08,0.15,0.18,0.25
170,"True.Eff",0.15,0.38,0.38,0.39,0.4
170,"True.Utility",0.12,0.33,0.28,0.27,0.23
120,"True.Tox",0.05,0.08,0.15,0.18,0.25
120,"True.Eff",0.15,0.38,0.38,0.39,0.4
120,"True.Utility",0.12,0.33,0.28,0.27,0.23
108,"True.Tox",0.08,0.12,0.18,0.25,0.35
108,"True.Eff",0.38,0.38,0.39,0.4,0.4
108,"True.Utility",0.33,0.3,0.27,0.23,0.17
267,"True.Tox",0.05,0.15,0.25,0.35,0.4
267,"True.Eff",0.35,0.35,0.36,0.37,0.37
267,"True.Utility",0.32,0.25,0.19,0.14,0.1
242,"True.Tox",0.05,0.15,0.25,0.35,0.4
242,"True.Eff",0.15,0.35,0.36,0.37,0.37
242,"True.Utility",0.12,0.25,0.19,0.14,0.1
184,"True.Tox",0.01,0.03,0.06,0.1,0.25
184,"True.Eff",0.05,0.1,0.15,0.35,0.36
184,"True.Utility",0.04,0.08,0.11,0.28,0.19
197,"True.Tox",0.05,0.15,0.25,0.35,0.4
197,"True.Eff",0.35,0.35,0.36,0.37,0.37
197,"True.Utility",0.32,0.25,0.19,0.14,0.1
237,"True.Tox",0.05,0.15,0.25,0.35,0.4
237,"True.Eff",0.35,0.35,0.36,0.37,0.37
237,"True.Utility",0.32,0.25,0.19,0.14,0.1
207,"True.Tox",0.05,0.15,0.25,0.35,0.4
207,"True.Eff",0.35,0.35,0.36,0.37,0.37
207,"True.Utility",0.32,0.25,0.19,0.14,0.1
212,"True.Tox",0.05,0.15,0.25,0.35,0.4
212,"True.Eff",0.15,0.35,0.36,0.37,0.37
212,"True.Utility",0.12,0.25,0.19,0.14,0.1
187,"True.Tox",0.05,0.15,0.25,0.35,0.4
187,"True.Eff",0.35,0.35,0.36,0.37,0.37
187,"True.Utility",0.32,0.25,0.19,0.14,0.1
194,"True.Tox",0.01,0.03,0.06,0.1,0.25
194,"True.Eff",0.05,0.1,0.15,0.35,0.36
194,"True.Utility",0.04,0.08,0.11,0.28,0.19
257,"True.Tox",0.05,0.15,0.25,0.35,0.4
257,"True.Eff",0.35,0.35,0.36,0.37,0.37
257,"True.Utility",0.32,0.25,0.19,0.14,0.1
180,"True.Tox",0.05,0.08,0.15,0.18,0.25
180,"True.Eff",0.15,0.38,0.38,0.39,0.4
180,"True.Utility",0.12,0.33,0.28,0.27,0.23
216,"True.Tox",0.02,0.06,0.1,0.22,0.35
216,"True.Eff",0.05,0.1,0.15,0.38,0.4
216,"True.Utility",0.04,0.06,0.08,0.23,0.17
321,"True.Tox",0.15,0.25,0.35,0.4,0.45
321,"True.Eff",0.35,0.35,0.36,0.37,0.37
321,"True.Utility",0.25,0.18,0.13,0.1,0.07
234,"True.Tox",0.01,0.03,0.06,0.1,0.25
234,"True.Eff",0.05,0.1,0.15,0.35,0.36
234,"True.Utility",0.04,0.08,0.11,0.28,0.19
214,"True.Tox",0.01,0.03,0.06,0.1,0.25
214,"True.Eff",0.05,0.1,0.15,0.35,0.36
214,"True.Utility",0.04,0.08,0.11,0.28,0.19
246,"True.Tox",0.02,0.06,0.1,0.22,0.35
246,"True.Eff",0.05,0.1,0.15,0.38,0.4
246,"True.Utility",0.04,0.06,0.08,0.23,0.17
291,"True.Tox",0.15,0.25,0.35,0.4,0.45
291,"True.Eff",0.35,0.35,0.36,0.37,0.37
291,"True.Utility",0.25,0.18,0.13,0.1,0.07
264,"True.Tox",0.01,0.03,0.06,0.1,0.25
264,"True.Eff",0.05,0.1,0.15,0.35,0.36
264,"True.Utility",0.04,0.08,0.11,0.28,0.19
254,"True.Tox",0.01,0.03,0.06,0.1,0.25
254,"True.Eff",0.05,0.1,0.15,0.35,0.36
254,"True.Utility",0.04,0.08,0.11,0.28,0.19
224,"True.Tox",0.01,0.03,0.06,0.1,0.25
224,"True.Eff",0.05,0.1,0.15,0.35,0.36
224,"True.Utility",0.04,0.08,0.11,0.28,0.19
217,"True.Tox",0.05,0.15,0.25,0.35,0.4
217,"True.Eff",0.35,0.35,0.36,0.37,0.37
217,"True.Utility",0.32,0.25,0.19,0.14,0.1
351,"True.Tox",0.15,0.25,0.35,0.4,0.45
351,"True.Eff",0.35,0.35,0.36,0.37,0.37
351,"True.Utility",0.25,0.18,0.13,0.1,0.07
247,"True.Tox",0.05,0.15,0.25,0.35,0.4
247,"True.Eff",0.35,0.35,0.36,0.37,0.37
247,"True.Utility",0.32,0.25,0.19,0.14,0.1
183,"True.Tox",0.02,0.06,0.1,0.25,0.35
183,"True.Eff",0.05,0.1,0.35,0.36,0.37
183,"True.Utility",0.04,0.06,0.28,0.19,0.14
204,"True.Tox",0.01,0.03,0.06,0.1,0.25
204,"True.Eff",0.05,0.1,0.15,0.35,0.36
204,"True.Utility",0.04,0.08,0.11,0.28,0.19
244,"True.Tox",0.01,0.03,0.06,0.1,0.25
244,"True.Eff",0.05,0.1,0.15,0.35,0.36
244,"True.Utility",0.04,0.08,0.11,0.28,0.19
193,"True.Tox",0.02,0.06,0.1,0.25,0.35
193,"True.Eff",0.05,0.1,0.35,0.36,0.37
193,"True.Utility",0.04,0.06,0.28,0.19,0.14
263,"True.Tox",0.02,0.06,0.1,0.25,0.35
263,"True.Eff",0.05,0.1,0.35,0.36,0.37
263,"True.Utility",0.04,0.06,0.28,0.19,0.14
223,"True.Tox",0.02,0.06,0.1,0.25,0.35
223,"True.Eff",0.05,0.1,0.35,0.36,0.37
223,"True.Utility",0.04,0.06,0.28,0.19,0.14
213,"True.Tox",0.02,0.06,0.1,0.25,0.35
213,"True.Eff",0.05,0.1,0.35,0.36,0.37
213,"True.Utility",0.04,0.06,0.28,0.19,0.14
239,"True.Tox",0.02,0.06,0.18,0.25,0.35
239,"True.Eff",0.15,0.35,0.36,0.37,0.37
239,"True.Utility",0.14,0.31,0.24,0.2,0.14
203,"True.Tox",0.02,0.06,0.1,0.25,0.35
203,"True.Eff",0.05,0.1,0.35,0.36,0.37
203,"True.Utility",0.04,0.06,0.28,0.19,0.14
253,"True.Tox",0.02,0.06,0.1,0.25,0.35
253,"True.Eff",0.05,0.1,0.35,0.36,0.37
253,"True.Utility",0.04,0.06,0.28,0.19,0.14
189,"True.Tox",0.02,0.06,0.18,0.25,0.35
189,"True.Eff",0.15,0.35,0.36,0.37,0.37
189,"True.Utility",0.14,0.31,0.24,0.2,0.14
229,"True.Tox",0.02,0.06,0.18,0.25,0.35
229,"True.Eff",0.15,0.35,0.36,0.37,0.37
229,"True.Utility",0.14,0.31,0.24,0.2,0.14
233,"True.Tox",0.02,0.06,0.1,0.25,0.35
233,"True.Eff",0.05,0.1,0.35,0.36,0.37
233,"True.Utility",0.04,0.06,0.28,0.19,0.14
269,"True.Tox",0.02,0.06,0.18,0.25,0.35
269,"True.Eff",0.15,0.35,0.36,0.37,0.37
269,"True.Utility",0.14,0.31,0.24,0.2,0.14
199,"True.Tox",0.02,0.06,0.18,0.25,0.35
199,"True.Eff",0.15,0.35,0.36,0.37,0.37
199,"True.Utility",0.14,0.31,0.24,0.2,0.14
238,"True.Tox",0.08,0.12,0.18,0.25,0.35
238,"True.Eff",0.38,0.38,0.39,0.4,0.4
238,"True.Utility",0.33,0.3,0.27,0.23,0.17
228,"True.Tox",0.08,0.12,0.18,0.25,0.35
228,"True.Eff",0.38,0.38,0.39,0.4,0.4
228,"True.Utility",0.33,0.3,0.27,0.23,0.17
209,"True.Tox",0.02,0.06,0.18,0.25,0.35
209,"True.Eff",0.15,0.35,0.36,0.37,0.37
209,"True.Utility",0.14,0.31,0.24,0.2,0.14
268,"True.Tox",0.08,0.12,0.18,0.25,0.35
268,"True.Eff",0.38,0.38,0.39,0.4,0.4
268,"True.Utility",0.33,0.3,0.27,0.23,0.17
208,"True.Tox",0.08,0.12,0.18,0.25,0.35
208,"True.Eff",0.38,0.38,0.39,0.4,0.4
208,"True.Utility",0.33,0.3,0.27,0.23,0.17
190,"True.Tox",0.05,0.08,0.15,0.18,0.25
190,"True.Eff",0.15,0.38,0.38,0.39,0.4
190,"True.Utility",0.12,0.33,0.28,0.27,0.23
315,"True.Tox",0.05,0.12,0.22,0.35,0.4
315,"True.Eff",0.1,0.15,0.38,0.38,0.4
315,"True.Utility",0.07,0.07,0.23,0.15,0.13
200,"True.Tox",0.05,0.08,0.15,0.18,0.25
200,"True.Eff",0.15,0.38,0.38,0.39,0.4
200,"True.Utility",0.12,0.33,0.28,0.27,0.23
188,"True.Tox",0.08,0.12,0.18,0.25,0.35
188,"True.Eff",0.38,0.38,0.39,0.4,0.4
188,"True.Utility",0.33,0.3,0.27,0.23,0.17
259,"True.Tox",0.02,0.06,0.18,0.25,0.35
259,"True.Eff",0.15,0.35,0.36,0.37,0.37
259,"True.Utility",0.14,0.31,0.24,0.2,0.14
285,"True.Tox",0.05,0.12,0.22,0.35,0.4
285,"True.Eff",0.1,0.15,0.38,0.38,0.4
285,"True.Utility",0.07,0.07,0.23,0.15,0.13
198,"True.Tox",0.08,0.12,0.18,0.25,0.35
198,"True.Eff",0.38,0.38,0.39,0.4,0.4
198,"True.Utility",0.33,0.3,0.27,0.23,0.17
258,"True.Tox",0.08,0.12,0.18,0.25,0.35
258,"True.Eff",0.38,0.38,0.39,0.4,0.4
258,"True.Utility",0.33,0.3,0.27,0.23,0.17
240,"True.Tox",0.05,0.08,0.15,0.18,0.25
240,"True.Eff",0.15,0.38,0.38,0.39,0.4
240,"True.Utility",0.12,0.33,0.28,0.27,0.23
260,"True.Tox",0.05,0.08,0.15,0.18,0.25
260,"True.Eff",0.15,0.38,0.38,0.39,0.4
260,"True.Utility",0.12,0.33,0.28,0.27,0.23
345,"True.Tox",0.05,0.12,0.22,0.35,0.4
345,"True.Eff",0.1,0.15,0.38,0.38,0.4
345,"True.Utility",0.07,0.07,0.23,0.15,0.13
220,"True.Tox",0.05,0.08,0.15,0.18,0.25
220,"True.Eff",0.15,0.38,0.38,0.39,0.4
220,"True.Utility",0.12,0.33,0.28,0.27,0.23
230,"True.Tox",0.05,0.08,0.15,0.18,0.25
230,"True.Eff",0.15,0.38,0.38,0.39,0.4
230,"True.Utility",0.12,0.33,0.28,0.27,0.23
275,"True.Tox",0.05,0.12,0.22,0.35,0.4
275,"True.Eff",0.1,0.15,0.38,0.38,0.4
275,"True.Utility",0.07,0.07,0.23,0.15,0.13
243,"True.Tox",0.02,0.06,0.1,0.25,0.35
243,"True.Eff",0.05,0.1,0.35,0.36,0.37
243,"True.Utility",0.04,0.06,0.28,0.19,0.14
210,"True.Tox",0.05,0.08,0.15,0.18,0.25
210,"True.Eff",0.15,0.38,0.38,0.39,0.4
210,"True.Utility",0.12,0.33,0.28,0.27,0.23
218,"True.Tox",0.08,0.12,0.18,0.25,0.35
218,"True.Eff",0.38,0.38,0.39,0.4,0.4
218,"True.Utility",0.33,0.3,0.27,0.23,0.17
219,"True.Tox",0.02,0.06,0.18,0.25,0.35
219,"True.Eff",0.15,0.35,0.36,0.37,0.37
219,"True.Utility",0.14,0.31,0.24,0.2,0.14
282,"True.Tox",0.05,0.15,0.25,0.35,0.4
282,"True.Eff",0.15,0.35,0.36,0.37,0.37
282,"True.Utility",0.12,0.25,0.19,0.14,0.1
312,"True.Tox",0.05,0.15,0.25,0.35,0.4
312,"True.Eff",0.15,0.35,0.36,0.37,0.37
312,"True.Utility",0.12,0.25,0.19,0.14,0.1
249,"True.Tox",0.02,0.06,0.18,0.25,0.35
249,"True.Eff",0.15,0.35,0.36,0.37,0.37
249,"True.Utility",0.14,0.31,0.24,0.2,0.14
270,"True.Tox",0.05,0.08,0.15,0.18,0.25
270,"True.Eff",0.15,0.38,0.38,0.39,0.4
270,"True.Utility",0.12,0.33,0.28,0.27,0.23
250,"True.Tox",0.05,0.08,0.15,0.18,0.25
250,"True.Eff",0.15,0.38,0.38,0.39,0.4
250,"True.Utility",0.12,0.33,0.28,0.27,0.23
342,"True.Tox",0.05,0.15,0.25,0.35,0.4
342,"True.Eff",0.15,0.35,0.36,0.37,0.37
342,"True.Utility",0.12,0.25,0.19,0.14,0.1
248,"True.Tox",0.08,0.12,0.18,0.25,0.35
248,"True.Eff",0.38,0.38,0.39,0.4,0.4
248,"True.Utility",0.33,0.3,0.27,0.23,0.17
355,"True.Tox",0.05,0.12,0.22,0.35,0.4
355,"True.Eff",0.1,0.15,0.38,0.38,0.4
355,"True.Utility",0.07,0.07,0.23,0.15,0.13
272,"True.Tox",0.05,0.15,0.25,0.35,0.4
272,"True.Eff",0.15,0.35,0.36,0.37,0.37
272,"True.Utility",0.12,0.25,0.19,0.14,0.1
295,"True.Tox",0.05,0.12,0.22,0.35,0.4
295,"True.Eff",0.1,0.15,0.38,0.38,0.4
295,"True.Utility",0.07,0.07,0.23,0.15,0.13
325,"True.Tox",0.05,0.12,0.22,0.35,0.4
325,"True.Eff",0.1,0.15,0.38,0.38,0.4
325,"True.Utility",0.07,0.07,0.23,0.15,0.13
305,"True.Tox",0.05,0.12,0.22,0.35,0.4
305,"True.Eff",0.1,0.15,0.38,0.38,0.4
305,"True.Utility",0.07,0.07,0.23,0.15,0.13
316,"True.Tox",0.02,0.06,0.1,0.22,0.35
316,"True.Eff",0.05,0.1,0.15,0.38,0.4
316,"True.Utility",0.04,0.06,0.08,0.23,0.17
346,"True.Tox",0.02,0.06,0.1,0.22,0.35
346,"True.Eff",0.05,0.1,0.15,0.38,0.4
346,"True.Utility",0.04,0.06,0.08,0.23,0.17
302,"True.Tox",0.05,0.15,0.25,0.35,0.4
302,"True.Eff",0.15,0.35,0.36,0.37,0.37
302,"True.Utility",0.12,0.25,0.19,0.14,0.1
322,"True.Tox",0.05,0.15,0.25,0.35,0.4
322,"True.Eff",0.15,0.35,0.36,0.37,0.37
322,"True.Utility",0.12,0.25,0.19,0.14,0.1
276,"True.Tox",0.02,0.06,0.1,0.22,0.35
276,"True.Eff",0.05,0.1,0.15,0.38,0.4
276,"True.Utility",0.04,0.06,0.08,0.23,0.17
352,"True.Tox",0.05,0.15,0.25,0.35,0.4
352,"True.Eff",0.15,0.35,0.36,0.37,0.37
352,"True.Utility",0.12,0.25,0.19,0.14,0.1
286,"True.Tox",0.02,0.06,0.1,0.22,0.35
286,"True.Eff",0.05,0.1,0.15,0.38,0.4
286,"True.Utility",0.04,0.06,0.08,0.23,0.17
335,"True.Tox",0.05,0.12,0.22,0.35,0.4
335,"True.Eff",0.1,0.15,0.38,0.38,0.4
335,"True.Utility",0.07,0.07,0.23,0.15,0.13
292,"True.Tox",0.05,0.15,0.25,0.35,0.4
292,"True.Eff",0.15,0.35,0.36,0.37,0.37
292,"True.Utility",0.12,0.25,0.19,0.14,0.1
332,"True.Tox",0.05,0.15,0.25,0.35,0.4
332,"True.Eff",0.15,0.35,0.36,0.37,0.37
332,"True.Utility",0.12,0.25,0.19,0.14,0.1
347,"True.Tox",0.05,0.15,0.25,0.35,0.4
347,"True.Eff",0.35,0.35,0.36,0.37,0.37
347,"True.Utility",0.32,0.25,0.19,0.14,0.1
326,"True.Tox",0.02,0.06,0.1,0.22,0.35
326,"True.Eff",0.05,0.1,0.15,0.38,0.4
326,"True.Utility",0.04,0.06,0.08,0.23,0.17
317,"True.Tox",0.05,0.15,0.25,0.35,0.4
317,"True.Eff",0.35,0.35,0.36,0.37,0.37
317,"True.Utility",0.32,0.25,0.19,0.14,0.1
356,"True.Tox",0.02,0.06,0.1,0.22,0.35
356,"True.Eff",0.05,0.1,0.15,0.38,0.4
356,"True.Utility",0.04,0.06,0.08,0.23,0.17
287,"True.Tox",0.05,0.15,0.25,0.35,0.4
287,"True.Eff",0.35,0.35,0.36,0.37,0.37
287,"True.Utility",0.32,0.25,0.19,0.14,0.1
296,"True.Tox",0.02,0.06,0.1,0.22,0.35
296,"True.Eff",0.05,0.1,0.15,0.38,0.4
296,"True.Utility",0.04,0.06,0.08,0.23,0.17
306,"True.Tox",0.02,0.06,0.1,0.22,0.35
306,"True.Eff",0.05,0.1,0.15,0.38,0.4
306,"True.Utility",0.04,0.06,0.08,0.23,0.17
277,"True.Tox",0.05,0.15,0.25,0.35,0.4
277,"True.Eff",0.35,0.35,0.36,0.37,0.37
277,"True.Utility",0.32,0.25,0.19,0.14,0.1
314,"True.Tox",0.01,0.03,0.06,0.1,0.25
314,"True.Eff",0.05,0.1,0.15,0.35,0.36
314,"True.Utility",0.04,0.08,0.11,0.28,0.19
274,"True.Tox",0.01,0.03,0.06,0.1,0.25
274,"True.Eff",0.05,0.1,0.15,0.35,0.36
274,"True.Utility",0.04,0.08,0.11,0.28,0.19
337,"True.Tox",0.05,0.15,0.25,0.35,0.4
337,"True.Eff",0.35,0.35,0.36,0.37,0.37
337,"True.Utility",0.32,0.25,0.19,0.14,0.1
284,"True.Tox",0.01,0.03,0.06,0.1,0.25
284,"True.Eff",0.05,0.1,0.15,0.35,0.36
284,"True.Utility",0.04,0.08,0.11,0.28,0.19
307,"True.Tox",0.05,0.15,0.25,0.35,0.4
307,"True.Eff",0.35,0.35,0.36,0.37,0.37
307,"True.Utility",0.32,0.25,0.19,0.14,0.1
336,"True.Tox",0.02,0.06,0.1,0.22,0.35
336,"True.Eff",0.05,0.1,0.15,0.38,0.4
336,"True.Utility",0.04,0.06,0.08,0.23,0.17
344,"True.Tox",0.01,0.03,0.06,0.1,0.25
344,"True.Eff",0.05,0.1,0.15,0.35,0.36
344,"True.Utility",0.04,0.08,0.11,0.28,0.19
297,"True.Tox",0.05,0.15,0.25,0.35,0.4
297,"True.Eff",0.35,0.35,0.36,0.37,0.37
297,"True.Utility",0.32,0.25,0.19,0.14,0.1
357,"True.Tox",0.05,0.15,0.25,0.35,0.4
357,"True.Eff",0.35,0.35,0.36,0.37,0.37
357,"True.Utility",0.32,0.25,0.19,0.14,0.1
304,"True.Tox",0.01,0.03,0.06,0.1,0.25
304,"True.Eff",0.05,0.1,0.15,0.35,0.36
304,"True.Utility",0.04,0.08,0.11,0.28,0.19
313,"True.Tox",0.02,0.06,0.1,0.25,0.35
313,"True.Eff",0.05,0.1,0.35,0.36,0.37
313,"True.Utility",0.04,0.06,0.28,0.19,0.14
